Date,Amsterdam,Belin,Lisbon,London,Moscow,New York,Paris,Dubai,Roma,Hong Kong,Warsaw,Tokyo
30/07/2017,-0.03,-0.01,0.01,0.01,-0.02,-0.01,0.01,0.02,0.01,-0.03,0.02,0.03
31/07/2017,0.02,0.01,-0.01,-0.01,0.01,0.01,0.02,-0.03,0.03,0.01,0.01,0.02
01/08/2017,-0.03,-0.01,-0.01,-0.02,0.01,0.01,0.01,0.01,-0.02,0.03,-0.01,0.01
02/08/2017,0.01,0.01,0.01,0.03,0.02,-0.02,-0.01,0.02,0.02,0.02,-0.01,0.01
03/08/2017,-0.02,-0.01,0.01,0.01,-0.01,-0.02,0.01,-0.01,-0.03,0.01,-0.03,0.03
04/08/2017,-0.02,0.01,-0.02,-0.03,0.03,-0.02,-0.01,-0.01,0.01,-0.02,0.01,-0.01
05/08/2017,0.03,0.01,0.01,0.01,-0.01,0.01,0.01,0.02,-0.01,-0.01,-0.02,-0.02
06/08/2017,0.01,0.01,0.01,0.02,-0.01,0.02,0.01,0.02,0.01,-0.03,-0.01,-0.04
07/08/2017,-0.01,0.01,-0.01,0.02,0.02,0.01,-0.02,-0.01,0.02,0.02,0.01,0.01
08/08/2017,-0.02,-0.01,-0.01,0.01,0.01,-0.01,-0.02,0.01,0.01,0.02,0.01,0.01
09/08/2017,-0.03,-0.01,0.01,-0.01,-0.01,0.02,-0.03,-0.02,-0.01,0.01,0.01,0.01
10/08/2017,0.01,-0.01,0.01,-0.01,0.02,0.01,0.01,-0.02,0.01,0.03,-0.02,-0.02
11/08/2017,0.02,0.01,-0.01,0.01,0.03,0.01,0.02,0.03,-0.01,0.01,0.02,0.01
12/08/2017,-0.01,-0.01,0.01,-0.02,0.01,-0.02,0.01,-0.03,0.01,-0.02,0.02,0.01
13/08/2017,-0.02,0.01,-0.01,-0.01,-0.01,-0.02,-0.01,0.01,0.01,-0.02,-0.01,0.02
14/08/2017,0.02,0.01,-0.01,0.01,-0.01,-0.02,0.02,0.01,-0.01,0.01,-0.01,-0.01
15/08/2017,-0.02,-0.01,0.02,-0.02,0.01,0.02,0.01,-0.01,0.01,-0.03,-0.03,-0.02
16/08/2017,0.02,-0.01,-0.02,0.02,0.01,-0.02,0.01,-0.02,0.01,0.01,0.02,-0.04
17/08/2017,-0.01,0.01,0.01,-0.01,0.02,0.01,-0.02,0.01,-0.02,0.03,0.04,0.01
18/08/2017,-0.02,0.01,0.01,0.01,0.01,-0.02,-0.02,0.01,-0.02,0.02,-0.01,-0.01
19/08/2017,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,0.02,-0.03,-0.01,0.02,0.01
20/08/2017,0.03,0.01,-0.01,-0.02,0.01,0.02,0.01,-0.04,0.01,0.02,-0.02,0.03
21/08/2017,0.03,-0.01,0.01,0.02,-0.01,0.01,0.02,0.03,0.01,0.01,0.01,-0.01
22/08/2017,0.01,-0.01,0.01,0.01,0.01,-0.01,0.01,-0.02,0.01,-0.02,0.01,-0.02
23/08/2017,0.02,0.01,0.01,0.01,0.01,-0.02,-0.01,-0.01,0.02,-0.01,0.01,-0.03
24/08/2017,0.01,0.01,0.01,-0.01,-0.02,-0.02,0.02,0.01,0.01,-0.03,-0.02,0.02
25/08/2017,-0.01,0.01,0.02,-0.02,-0.02,0.01,0.01,0.01,-0.01,0.02,-0.02,0.01
26/08/2017,0.02,0.01,-0.01,0.03,-0.03,0.02,-0.01,-0.03,0.01,0.02,0.02,0.02
27/08/2017,0.02,-0.01,0.01,0.01,0.01,-0.01,-0.02,0.01,-0.01,0.01,-0.02,0.01
28/08/2017,-0.03,-0.01,-0.01,-0.01,0.02,-0.02,-0.03,0.01,-0.01,0.03,0.01,-0.02
29/08/2017,0.01,-0.01,-0.01,0.01,0.01,0.02,0.01,-0.01,0.01,0.01,0.01,0.01
30/08/2017,0.02,0.01,0.01,-0.02,-0.01,-0.02,0.01,-0.02,-0.01,-0.02,-0.02,0.01
31/08/2017,-0.01,0.01,0.01,-0.02,0.02,0.02,0.01,0.03,-0.01,-0.02,-0.01,0.03
01/09/2017,-0.01,-0.01,-0.02,0.03,0.01,-0.01,0.01,0.01,0.01,0.01,0.01,-0.01
02/09/2017,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,-0.02,0.02,0.03,-0.02
03/09/2017,0.02,-0.01,0.01,-0.01,-0.02,-0.02,0.01,-0.02,-0.02,0.01,0.01,-0.04
04/09/2017,-0.01,-0.01,-0.01,-0.02,-0.02,0.02,-0.01,-0.03,0.01,-0.02,-0.02,0.01
05/09/2017,0.01,0.01,-0.01,-0.03,-0.03,-0.02,0.01,0.03,0.01,-0.01,0.02,0.01
06/09/2017,-0.02,0.01,0.01,0.01,0.02,-0.01,0.01,0.01,-0.01,-0.03,0.04,-0.01
07/09/2017,-0.02,-0.01,0.01,0.01,-0.03,0.02,-0.02,-0.02,-0.02,0.02,-0.01,0.03
08/09/2017,0.03,-0.01,-0.01,-0.01,0.01,-0.01,-0.02,-0.02,0.03,0.01,-0.01,-0.01
09/09/2017,-0.03,0.01,0.01,0.02,-0.02,-0.01,-0.03,0.03,0.01,-0.02,-0.03,-0.02
10/09/2017,0.01,-0.01,-0.01,-0.03,-0.02,0.02,0.01,0.01,-0.03,-0.01,0.01,0.01
11/09/2017,0.01,-0.01,-0.01,0.01,0.03,0.02,0.01,-0.03,0.01,-0.03,-0.02,-0.02
12/09/2017,-0.01,-0.01,-0.02,0.02,0.01,-0.02,0.01,-0.01,-0.02,0.02,-0.01,0.03
13/09/2017,-0.02,0.01,-0.02,-0.01,-0.01,0.01,0.02,0.03,-0.02,0.02,0.01,-0.01
14/09/2017,0.01,0.01,0.01,-0.01,-0.02,0.02,0.02,-0.02,0.03,0.01,0.03,-0.01
15/09/2017,0.01,0.01,0.01,0.02,-0.03,-0.01,-0.01,-0.04,0.01,0.03,0.01,0.02
16/09/2017,0.02,0.01,-0.01,0.02,0.01,-0.01,0.01,0.02,-0.01,0.01,-0.02,0.01
17/09/2017,-0.01,-0.01,-0.01,-0.03,0.02,0.02,-0.01,-0.04,-0.02,-0.02,0.02,-0.02
18/09/2017,0.03,0.01,0.01,0.01,-0.01,0.02,0.01,-0.03,-0.03,-0.02,0.01,0.01
19/09/2017,-0.01,-0.01,0.01,-0.02,-0.02,-0.01,-0.01,0.01,0.01,0.01,-0.01,0.01
20/09/2017,-0.01,0.01,0.01,-0.02,0.03,0.01,0.02,-0.02,0.01,-0.03,-0.01,0.03
21/09/2017,0.02,-0.01,-0.01,0.01,-0.03,-0.02,-0.02,-0.02,-0.01,0.01,0.01,-0.01
22/09/2017,0.01,-0.01,-0.02,0.01,0.02,-0.02,-0.03,0.03,-0.02,0.03,-0.02,-0.02
23/09/2017,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,0.01,0.01,-0.01,0.02,-0.01,-0.04
24/09/2017,0.02,-0.01,-0.01,-0.02,0.03,-0.02,-0.01,-0.01,-0.02,0.01,0.01,0.01
25/09/2017,0.03,0.01,0.01,0.02,-0.02,0.01,0.01,-0.02,-0.03,-0.02,0.03,0.01
26/09/2017,0.01,0.01,0.01,-0.01,0.03,0.01,0.02,-0.03,0.01,0.02,-0.01,0.01
27/09/2017,-0.01,0.01,-0.01,-0.01,-0.03,-0.01,0.01,0.01,0.01,0.01,-0.02,0.02
28/09/2017,-0.01,0.02,0.01,0.02,-0.01,-0.02,-0.01,-0.03,-0.01,-0.02,-0.02,0.01
29/09/2017,0.01,0.02,0.02,0.02,0.02,0.01,-0.01,0.01,-0.02,-0.01,0.01,0.01
30/09/2017,0.01,0.01,0.01,-0.01,-0.01,0.01,0.01,0.02,0.03,-0.03,-0.01,0.03
01/10/2017,0.02,-0.01,-0.01,0.02,-0.01,0.02,-0.02,-0.02,0.01,0.02,-0.01,-0.01
02/10/2017,0.01,-0.01,-0.01,-0.02,0.02,-0.01,-0.02,-0.03,-0.03,0.02,-0.03,-0.02
03/10/2017,-0.01,-0.01,0.01,-0.02,0.02,0.02,-0.03,0.01,0.01,0.01,0.02,-0.04
04/10/2017,0.01,-0.01,-0.01,0.02,-0.03,-0.01,0.01,-0.01,-0.02,0.03,0.01,0.01
05/10/2017,-0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.02,-0.02,0.01,-0.01,0.01
06/10/2017,0.01,-0.01,-0.01,-0.01,0.02,0.02,0.01,-0.03,0.03,-0.02,0.02,0.01
07/10/2017,0.01,0.01,-0.01,0.02,-0.01,0.01,0.02,0.01,0.01,-0.02,-0.02,0.03
08/10/2017,-0.02,0.01,0.01,0.02,-0.01,-0.01,0.01,0.04,-0.01,0.01,0.01,0.01
09/10/2017,-0.02,0.01,-0.01,-0.03,0.02,0.02,-0.01,-0.01,0.02,-0.02,0.01,-0.02
10/10/2017,-0.03,0.01,0.01,0.01,0.02,0.02,0.01,-0.03,0.03,0.01,-0.02,-0.03
11/10/2017,0.01,-0.01,0.01,-0.02,-0.01,0.01,-0.01,0.01,0.01,-0.02,-0.01,0.02
12/10/2017,0.02,0.01,-0.01,-0.02,0.01,-0.01,-0.01,-0.02,0.01,-0.01,0.01,0.01
13/10/2017,0.01,0.01,-0.01,0.03,-0.02,-0.01,0.01,-0.02,-0.01,-0.03,0.03,-0.01
14/10/2017,-0.01,0.01,-0.02,0.01,-0.02,0.01,-0.02,-0.03,-0.02,0.02,0.01,-0.02
15/10/2017,0.02,0.01,0.01,0.02,0.03,-0.01,-0.02,0.01,0.03,0.01,-0.02,0.01
16/10/2017,0.01,-0.01,0.01,-0.01,-0.03,-0.02,-0.03,0.01,0.01,-0.02,0.02,0.01
17/10/2017,0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.02,-0.01,-0.01,0.02,0.03
18/10/2017,-0.02,-0.02,-0.01,0.02,0.01,-0.01,0.02,-0.03,-0.02,-0.03,-0.01,-0.01
19/10/2017,-0.02,-0.02,0.01,0.02,-0.01,0.01,0.01,0.01,-0.03,0.02,-0.01,-0.02
20/10/2017,-0.03,-0.01,0.01,-0.03,-0.02,-0.01,-0.01,0.01,0.01,0.02,-0.03,-0.04
21/10/2017,0.02,0.01,0.01,0.01,0.01,0.01,0.02,-0.01,0.01,0.01,0.02,0.01
22/10/2017,-0.03,-0.01,-0.01,-0.02,0.01,0.01,0.01,-0.02,-0.01,0.02,0.01,0.02
23/10/2017,-0.01,0.01,-0.01,-0.02,0.02,-0.02,-0.01,0.03,-0.02,0.01,-0.01,0.01
24/10/2017,-0.02,0.01,0.02,0.03,-0.01,-0.02,0.01,0.01,0.03,-0.02,0.02,0.01
25/10/2017,-0.02,0.01,-0.01,0.01,0.03,-0.02,0.02,-0.03,-0.01,-0.01,-0.02,0.03
26/10/2017,0.03,0.01,-0.02,-0.01,-0.01,0.01,0.01,0.01,-0.02,-0.03,0.01,-0.01
27/10/2017,0.01,-0.01,-0.01,-0.02,0.02,0.02,-0.01,0.02,0.03,0.02,0.01,-0.02
28/10/2017,-0.01,-0.01,0.01,0.03,-0.01,0.01,-0.01,0.02,0.01,0.02,-0.01,-0.04
29/10/2017,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.03,0.01,0.01,-0.03,0.01
30/10/2017,-0.03,0.01,0.01,-0.02,-0.03,0.02,-0.02,0.01,-0.01,0.03,-0.01,0.01
31/10/2017,0.01,0.01,-0.01,0.03,0.01,0.01,-0.02,-0.01,-0.02,0.01,0.01,0.01
01/11/2017,0.02,-0.01,0.01,0.01,0.01,0.01,-0.03,-0.02,0.03,-0.02,0.01,-0.03
02/11/2017,-0.01,-0.01,-0.02,0.01,-0.01,-0.02,0.01,-0.02,0.01,-0.02,-0.02,0.01
03/11/2017,-0.02,-0.01,0.01,-0.01,-0.02,-0.02,0.01,-0.01,-0.03,0.01,-0.01,-0.02
04/11/2017,0.03,-0.01,-0.01,-0.02,0.03,-0.02,0.01,0.01,0.01,0.02,0.01,0.03
05/11/2017,-0.03,0.01,-0.01,0.03,0.01,0.02,0.02,-0.02,-0.02,0.01,0.01,0.02
06/11/2017,0.02,0.01,0.01,0.01,-0.03,-0.02,0.02,0.02,0.02,-0.02,0.01,-0.02
07/11/2017,-0.01,0.01,0.01,-0.03,0.01,0.01,-0.01,-0.01,0.03,-0.01,-0.02,-0.04
08/11/2017,0.03,0.01,0.01,0.01,-0.02,0.02,0.01,0.01,0.01,-0.03,0.02,0.01
09/11/2017,-0.02,-0.01,0.01,-0.02,-0.02,0.01,0.01,-0.01,-0.01,0.02,0.01,0.01
10/11/2017,0.02,0.01,-0.01,-0.02,0.03,0.01,-0.01,-0.02,-0.02,0.01,-0.01,0.01
11/11/2017,-0.03,-0.01,-0.01,0.03,0.01,0.02,-0.01,0.02,-0.03,-0.02,-0.01,0.02
12/11/2017,-0.01,0.01,-0.01,0.01,-0.02,0.01,0.01,0.01,0.01,-0.01,-0.03,0.01
13/11/2017,0.02,-0.01,-0.01,-0.01,-0.02,0.01,-0.02,0.01,0.01,-0.03,0.02,-0.01
14/11/2017,-0.01,0.01,-0.02,-0.02,0.03,0.01,-0.02,-0.01,-0.01,0.01,0.04,0.03
15/11/2017,-0.01,0.01,0.01,0.03,0.01,0.01,-0.03,-0.02,-0.02,0.02,-0.01,-0.03
16/11/2017,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.03,-0.03,0.01,0.02,-0.02
17/11/2017,-0.01,-0.01,0.01,0.01,-0.02,0.01,0.03,0.01,0.01,0.03,-0.02,-0.04
18/11/2017,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,0.01,0.01,0.01,0.01
19/11/2017,0.02,0.01,0.01,-0.02,0.03,-0.02,0.02,0.01,-0.01,-0.02,0.01,0.01
20/11/2017,0.02,0.01,0.01,-0.01,0.01,-0.02,0.01,-0.02,-0.02,-0.02,0.01,0.01
21/11/2017,-0.01,0.01,0.01,-0.02,-0.01,0.01,-0.01,-0.02,0.03,0.01,-0.02,-0.02
22/11/2017,-0.01,-0.01,0.01,-0.03,0.02,-0.01,0.01,0.03,0.01,-0.03,-0.01,-0.04
23/11/2017,-0.02,0.01,-0.02,0.01,-0.03,0.01,-0.01,0.01,0.03,0.01,0.01,0.01
24/11/2017,0.02,0.01,0.01,0.01,0.01,-0.02,-0.01,-0.01,0.01,0.03,0.01,0.01
25/11/2017,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.02,-0.02,0.02,-0.02,0.01
26/11/2017,0.01,-0.01,0.01,-0.02,-0.01,-0.01,-0.02,-0.03,-0.02,0.01,-0.02,0.02
27/11/2017,-0.02,-0.01,0.01,0.03,-0.02,0.01,-0.02,0.01,0.03,-0.02,0.01,0.01
28/11/2017,-0.02,-0.01,0.01,0.01,-0.03,-0.01,0.03,0.01,0.01,-0.01,0.03,0.01
29/11/2017,0.03,0.01,0.01,0.03,0.01,-0.01,0.01,-0.01,-0.01,-0.03,0.01,0.03
30/11/2017,-0.03,0.01,-0.01,0.01,0.01,0.01,-0.01,0.02,-0.01,0.02,-0.02,-0.01
01/12/2017,0.01,0.01,0.01,-0.02,-0.01,-0.01,0.01,0.03,0.02,0.02,0.02,-0.02
02/12/2017,0.01,-0.01,0.01,-0.02,-0.02,-0.01,-0.02,0.01,-0.03,0.01,0.01,-0.04
03/12/2017,-0.01,0.01,-0.01,0.03,0.03,-0.01,0.02,0.02,0.01,0.03,-0.01,0.01
04/12/2017,-0.02,0.01,-0.01,0.01,0.01,-0.02,-0.03,-0.01,0.01,0.01,-0.01,0.01
05/12/2017,0.01,-0.01,-0.02,-0.01,-0.01,-0.02,0.01,-0.01,-0.01,0.02,-0.03,0.01
06/12/2017,0.01,-0.01,0.01,-0.02,0.01,-0.02,0.02,0.02,-0.02,0.01,0.02,0.03
07/12/2017,0.02,-0.01,0.01,-0.03,0.02,0.01,0.01,0.02,0.03,-0.02,0.04,0.01
08/12/2017,-0.01,-0.01,0.01,0.01,-0.01,0.01,-0.01,-0.03,0.01,-0.01,-0.01,-0.02
09/12/2017,0.03,0.01,0.01,0.01,0.03,0.01,0.02,0.01,-0.01,-0.03,0.02,0.03
10/12/2017,-0.01,0.01,0.01,-0.01,0.01,0.02,0.01,-0.02,-0.02,0.02,-0.02,0.02
11/12/2017,0.02,-0.01,-0.01,-0.02,-0.02,0.01,-0.01,-0.02,0.03,-0.02,0.01,0.01
12/12/2017,-0.01,0.01,0.01,0.03,-0.02,-0.01,0.01,0.03,0.01,0.01,0.01,-0.01
13/12/2017,-0.01,0.01,-0.01,0.01,0.03,0.01,-0.01,0.01,0.01,0.01,0.01,0.02
14/12/2017,0.02,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,0.01,0.01,-0.03
15/12/2017,0.02,-0.01,-0.01,-0.02,0.03,0.01,0.03,-0.02,-0.02,-0.02,-0.02,0.01
16/12/2017,-0.03,-0.01,0.01,-0.03,0.01,0.01,-0.02,0.02,0.03,-0.02,0.01,0.03
17/12/2017,0.01,-0.01,-0.01,0.01,-0.01,-0.02,0.02,-0.01,0.01,0.01,0.01,-0.01
18/12/2017,0.02,-0.01,-0.02,0.01,0.01,-0.02,-0.03,-0.01,-0.03,0.02,0.01,-0.02
19/12/2017,-0.01,-0.01,0.01,-0.01,-0.02,-0.02,0.01,0.02,0.01,0.01,-0.02,-0.04
20/12/2017,-0.01,0.01,-0.01,-0.02,-0.02,0.01,-0.01,0.02,-0.02,-0.02,-0.01,0.01
21/12/2017,-0.02,0.01,0.01,0.03,0.03,0.02,0.01,-0.03,-0.02,-0.01,0.01,0.02
22/12/2017,0.02,0.01,0.01,-0.01,0.01,0.01,0.02,0.01,0.03,-0.03,-0.01,0.01
23/12/2017,-0.01,0.01,0.01,-0.02,0.03,-0.01,0.01,-0.02,0.01,0.02,0.01,0.01
24/12/2017,0.01,0.01,-0.01,0.03,0.01,0.02,-0.01,-0.02,-0.01,0.01,-0.02,0.03
25/12/2017,-0.02,-0.01,-0.01,0.01,-0.01,0.01,0.01,0.02,-0.02,-0.02,0.02,-0.01
26/12/2017,-0.02,0.01,0.01,0.01,-0.02,0.01,-0.01,-0.01,0.03,-0.01,0.01,-0.02
27/12/2017,0.03,-0.01,-0.01,-0.01,-0.03,-0.02,0.01,-0.01,0.01,-0.03,-0.01,-0.04
28/12/2017,-0.03,0.01,-0.01,-0.02,0.01,-0.02,0.01,0.02,0.01,0.02,-0.01,0.01
29/12/2017,0.01,-0.01,-0.02,0.03,0.01,-0.02,-0.01,0.02,-0.01,0.02,-0.03,0.01
30/12/2017,0.01,0.01,0.01,0.01,-0.01,0.01,0.01,-0.03,0.04,-0.01,0.01,0.01
31/12/2017,-0.01,-0.01,0.01,-0.03,-0.02,0.02,0.01,0.01,-0.03,0.02,-0.02,-0.03
01/01/2018,-0.02,-0.01,0.01,0.01,-0.03,0.01,-0.02,-0.02,0.01,0.01,-0.01,0.01
02/01/2018,0.01,0.01,0.01,-0.02,0.01,-0.01,-0.02,-0.02,0.01,-0.02,0.01,-0.02
03/01/2018,0.01,-0.01,0.01,0.02,0.03,0.02,-0.03,0.03,-0.01,-0.02,0.03,-0.04
04/01/2018,0.02,0.01,0.01,0.03,-0.01,0.01,0.01,0.01,-0.02,0.01,0.01,0.01
05/01/2018,-0.01,0.01,0.01,0.01,-0.02,-0.01,0.01,0.02,0.03,-0.03,-0.02,0.01
06/01/2018,0.03,0.01,-0.01,-0.01,0.03,-0.02,0.01,-0.01,0.01,0.01,0.02,0.01
07/01/2018,-0.01,-0.01,-0.01,-0.02,0.01,-0.02,0.02,-0.01,-0.03,0.01,0.01,0.02
08/01/2018,-0.01,-0.01,0.01,-0.03,-0.03,0.01,0.01,0.02,0.01,0.02,-0.01,0.01
09/01/2018,0.02,0.01,0.01,0.01,0.01,0.01,-0.01,0.02,0.02,0.01,-0.01,0.01
10/01/2018,0.01,-0.01,-0.01,0.01,0.03,0.01,0.01,0.03,0.01,-0.02,-0.03,0.03
11/01/2018,-0.01,-0.01,-0.01,-0.01,0.01,0.01,-0.01,0.01,0.01,-0.01,-0.02,-0.01
12/01/2018,0.02,-0.01,0.01,-0.02,-0.01,0.02,-0.01,-0.02,0.02,-0.03,0.01,-0.02
13/01/2018,0.03,0.01,0.01,0.03,0.02,0.01,0.01,-0.02,0.01,0.02,-0.01,-0.04
14/01/2018,0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.03,0.01,0.02,0.02,0.01
15/01/2018,-0.01,0.01,0.01,0.01,0.01,0.01,-0.01,0.01,0.01,-0.01,-0.02,-0.03
16/01/2018,-0.01,0.01,-0.01,-0.01,-0.02,0.01,0.01,-0.01,0.01,0.01,-0.02,0.01
17/01/2018,-0.01,0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,0.01,0.01,0.01,-0.03
18/01/2018,-0.01,-0.01,0.02,0.03,0.03,-0.02,-0.02,-0.03,0.01,-0.02,0.01,0.01
19/01/2018,-0.02,0.01,-0.02,0.01,0.01,-0.02,-0.03,-0.01,-0.02,-0.02,-0.02,-0.02
20/01/2018,0.01,-0.01,0.01,0.03,-0.01,0.02,0.01,-0.02,-0.02,0.01,0.01,-0.04
21/01/2018,-0.01,-0.01,0.01,0.01,-0.02,-0.02,0.01,-0.03,-0.03,-0.03,-0.02,0.01
22/01/2018,-0.01,-0.01,-0.01,-0.02,-0.01,0.01,0.01,0.01,0.01,0.01,-0.03,0.01
23/01/2018,-0.01,0.01,-0.01,-0.02,0.01,0.02,0.02,0.01,-0.01,0.03,0.01,0.01
24/01/2018,0.01,-0.01,0.01,0.03,0.01,-0.01,0.01,-0.01,0.01,0.02,0.03,0.02
25/01/2018,0.01,-0.01,0.01,0.01,-0.02,-0.01,-0.01,-0.02,-0.02,0.02,0.01,0.01
26/01/2018,-0.02,0.01,0.01,-0.01,-0.02,0.02,0.01,0.03,0.01,0.01,-0.02,0.01
27/01/2018,-0.02,0.01,-0.02,-0.01,0.03,0.02,-0.01,0.01,-0.01,-0.02,0.02,0.03
28/01/2018,-0.02,-0.01,0.02,0.02,0.04,-0.01,-0.01,-0.03,0.01,-0.01,0.04,-0.01
29/01/2018,0.01,0.01,-0.01,-0.03,-0.01,0.01,0.01,0.01,-0.01,-0.03,-0.01,-0.02
30/01/2018,0.02,-0.01,-0.01,0.01,-0.02,-0.02,-0.02,-0.02,-0.01,0.02,-0.02,-0.04
31/01/2018,-0.01,-0.01,0.01,0.01,-0.01,-0.02,-0.02,-0.02,0.01,0.02,-0.03,0.01
01/02/2018,-0.01,0.01,0.01,-0.01,0.01,0.02,-0.03,0.03,-0.01,0.01,0.02,0.01
02/02/2018,-0.02,-0.01,-0.02,-0.02,0.02,-0.02,0.01,0.01,-0.01,0.03,0.02,0.01
03/02/2018,0.01,0.01,0.01,0.03,0.01,0.01,-0.02,-0.01,-0.01,0.01,-0.01,0.03
04/02/2018,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.02,-0.02,-0.02,0.02,0.01
05/02/2018,0.02,-0.01,-0.01,-0.01,0.02,-0.01,0.02,-0.03,-0.02,-0.02,-0.02,-0.02
06/02/2018,0.02,-0.01,-0.01,-0.02,0.01,-0.02,0.02,0.01,-0.03,0.01,-0.01,0.03
07/02/2018,0.03,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02
08/02/2018,0.02,0.01,0.01,0.01,0.01,0.01,-0.02,-0.01,0.01,0.01,0.01,0.01
09/02/2018,-0.02,0.01,0.01,0.01,0.01,0.02,-0.01,-0.02,0.01,-0.02,-0.02,-0.01
10/02/2018,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.02,-0.01,0.02,-0.01,-0.01,0.02
11/02/2018,-0.01,0.01,-0.02,-0.02,0.01,0.02,0.02,-0.02,0.01,-0.03,0.01,0.01
